Episode: 424, Step:7614, Total Reward:-1193
Episode: 425, Step:3873, Total Reward:-548
Episode: 426, Step:6028, Total Reward:-956
Episode: 427, Step:3950, Total Reward:-553
Episode: 428, Step:4077, Total Reward:-616
Episode: 429, Step:4880, Total Reward:-704
Episode: 430, Step:23222, Total Reward:-3906
Episode: 431, Step:3942, Total Reward:-565
Episode: 432, Step:4779, Total Reward:-695
Episode: 433, Step:6211, Total Reward:-908
Episode: 434, Step:5416, Total Reward:-783
Episode: 435, Step:5571, Total Reward:-844
Episode: 436, Step:4081, Total Reward:-582
Episode: 437, Step:4683, Total Reward:-682
Episode: 438, Step:6165, Total Reward:-932
Episode: 439, Step:10113, Total Reward:-1599
Episode: 440, Step:5041, Total Reward:-701
Episode: 441, Step:4750, Total Reward:-696
Episode: 442, Step:3801, Total Reward:-525
Episode: 443, Step:6712, Total Reward:-1031
Episode: 444, Step:7649, Total Reward:-1199
Episode: 445, Step:4169, Total Reward:-619
Episode: 446, Step:4433, Total Reward:-660
Episode: 447, Step:4071, Total Reward:-581
Episode: 448, Step:5243, Total Reward:-808
Episode: 449, Step:4364, Total Reward:-564
Episode: 450, Step:3687, Total Reward:-515
Episode: 451, Step:6295, Total Reward:-924
Episode: 452, Step:5419, Total Reward:-780
Episode: 453, Step:4563, Total Reward:-650
Episode: 454, Step:4333, Total Reward:-609
Episode: 455, Step:4513, Total Reward:-684
Episode: 456, Step:6873, Total Reward:-1032
Episode: 457, Step:5920, Total Reward:-898
Episode: 458, Step:4676, Total Reward:-673
Episode: 459, Step:11862, Total Reward:-1893
Episode: 460, Step:3929, Total Reward:-583
Episode: 461, Step:4567, Total Reward:-665
Episode: 462, Step:9919, Total Reward:-1596
Episode: 463, Step:4126, Total Reward:-549
Episode: 464, Step:4126, Total Reward:-602
Episode: 465, Step:4511, Total Reward:-691
Episode: 466, Step:10414, Total Reward:-1684
Episode: 467, Step:4743, Total Reward:-682
Episode: 468, Step:3607, Total Reward:-509
Episode: 469, Step:6081, Total Reward:-935
Episode: 470, Step:4479, Total Reward:-627
Episode: 471, Step:3873, Total Reward:-514
Episode: 472, Step:6376, Total Reward:-969
Episode: 473, Step:4182, Total Reward:-578
Episode: 474, Step:4218, Total Reward:-584
Episode: 475, Step:4406, Total Reward:-621
Episode: 476, Step:3886, Total Reward:-534
Episode: 477, Step:5315, Total Reward:-765
Episode: 478, Step:4555, Total Reward:-638
Episode: 479, Step:23434, Total Reward:-3808
Episode: 480, Step:4398, Total Reward:-587
Episode: 481, Step:6621, Total Reward:-1009
Episode: 482, Step:4300, Total Reward:-587
Episode: 483, Step:4275, Total Reward:-616
Episode: 484, Step:6062, Total Reward:-934
Episode: 485, Step:4039, Total Reward:-563
Episode: 486, Step:5252, Total Reward:-777
Episode: 487, Step:3817, Total Reward:-482
Episode: 488, Step:4174, Total Reward:-603
Episode: 489, Step:5467, Total Reward:-810
Episode: 490, Step:5117, Total Reward:-752
Episode: 491, Step:6713, Total Reward:-1014
Episode: 492, Step:6307, Total Reward:-959
Episode: 493, Step:3658, Total Reward:-468
Episode: 494, Step:4349, Total Reward:-614
Episode: 495, Step:3825, Total Reward:-504
Episode: 496, Step:7748, Total Reward:-1165
Episode: 497, Step:5478, Total Reward:-780
Episode: 498, Step:3895, Total Reward:-525
Episode: 499, Step:5441, Total Reward:-765
Episode: 500, Step:4071, Total Reward:-575
Episode: 501, Step:3871, Total Reward:-525
Episode: 502, Step:4294, Total Reward:-584
Episode: 503, Step:5940, Total Reward:-842
Episode: 504, Step:4180, Total Reward:-578
Episode: 505, Step:3461, Total Reward:-444
Episode: 506, Step:3755, Total Reward:-511
Episode: 507, Step:3826, Total Reward:-541
Episode: 508, Step:4406, Total Reward:-563
Episode: 509, Step:3645, Total Reward:-479
Episode: 510, Step:9276, Total Reward:-1415
Episode: 511, Step:7307, Total Reward:-1086
Episode: 512, Step:3607, Total Reward:-491
Episode: 513, Step:4224, Total Reward:-588
Episode: 514, Step:4759, Total Reward:-660
Episode: 515, Step:3887, Total Reward:-510
Episode: 516, Step:3564, Total Reward:-464
Episode: 517, Step:5424, Total Reward:-798
Episode: 518, Step:3835, Total Reward:-509
Episode: 519, Step:4060, Total Reward:-541
Episode: 520, Step:3909, Total Reward:-550
Episode: 521, Step:7260, Total Reward:-1118
Episode: 522, Step:4692, Total Reward:-635
Episode: 523, Step:4760, Total Reward:-658
Episode: 524, Step:3599, Total Reward:-474
Episode: 525, Step:6793, Total Reward:-983
Episode: 526, Step:3878, Total Reward:-530
Episode: 527, Step:4707, Total Reward:-652
Episode: 528, Step:9029, Total Reward:-1350
Episode: 529, Step:4581, Total Reward:-639
Episode: 530, Step:4445, Total Reward:-607
Episode: 531, Step:5470, Total Reward:-747
Episode: 532, Step:5041, Total Reward:-723
Episode: 533, Step:6952, Total Reward:-1030
Episode: 534, Step:3670, Total Reward:-471
Episode: 535, Step:7498, Total Reward:-1063
Episode: 536, Step:4686, Total Reward:-656
Episode: 537, Step:4667, Total Reward:-660
Episode: 538, Step:4935, Total Reward:-696
Episode: 539, Step:10249, Total Reward:-1551
Episode: 540, Step:5103, Total Reward:-713
Episode: 541, Step:6598, Total Reward:-982
Episode: 542, Step:3917, Total Reward:-515
Episode: 543, Step:5494, Total Reward:-762
Episode: 544, Step:11685, Total Reward:-1783
Episode: 545, Step:5030, Total Reward:-687
Episode: 546, Step:4520, Total Reward:-614
Episode: 547, Step:11635, Total Reward:-1819
Episode: 548, Step:5231, Total Reward:-715
Episode: 549, Step:5274, Total Reward:-722
Episode: 550, Step:5047, Total Reward:-695
Episode: 551, Step:15332, Total Reward:-2345
Episode: 552, Step:9100, Total Reward:-1353
Episode: 553, Step:7561, Total Reward:-1101
Episode: 554, Step:7642, Total Reward:-1131
Episode: 555, Step:16044, Total Reward:-2499
Episode: 556, Step:4089, Total Reward:-545
Episode: 557, Step:6126, Total Reward:-875
Episode: 558, Step:6010, Total Reward:-835
Episode: 559, Step:5437, Total Reward:-759
Episode: 560, Step:5803, Total Reward:-813
Episode: 561, Step:4065, Total Reward:-544
Episode: 562, Step:13244, Total Reward:-2030
Episode: 563, Step:6621, Total Reward:-951
Episode: 564, Step:11200, Total Reward:-1681
Episode: 565, Step:17038, Total Reward:-2514
Episode: 566, Step:11129, Total Reward:-1699
Episode: 567, Step:5047, Total Reward:-716
Episode: 568, Step:4375, Total Reward:-555
Episode: 569, Step:8556, Total Reward:-1203
Episode: 570, Step:4838, Total Reward:-655
Episode: 571, Step:4577, Total Reward:-592
Episode: 572, Step:17188, Total Reward:-2629
Episode: 573, Step:12632, Total Reward:-1844
Episode: 574, Step:9643, Total Reward:-1465
Episode: 575, Step:8828, Total Reward:-1316
Episode: 576, Step:10377, Total Reward:-1533
Episode: 577, Step:14251, Total Reward:-2139
Episode: 578, Step:4702, Total Reward:-598
Episode: 579, Step:6585, Total Reward:-875
Episode: 580, Step:28284, Total Reward:-4355
Episode: 581, Step:8675, Total Reward:-1259
Episode: 582, Step:6455, Total Reward:-918
Episode: 583, Step:15184, Total Reward:-2287
Episode: 584, Step:12086, Total Reward:-1779
Episode: 585, Step:19448, Total Reward:-2971
Episode: 586, Step:44438, Total Reward:-6868
Episode: 587, Step:12812, Total Reward:-1916
Episode: 588, Step:9300, Total Reward:-1328
Episode: 589, Step:9263, Total Reward:-1368
Episode: 590, Step:15421, Total Reward:-2335
Episode: 591, Step:5749, Total Reward:-772
Episode: 592, Step:16436, Total Reward:-2448
Episode: 593, Step:25193, Total Reward:-3854
Episode: 594, Step:35266, Total Reward:-5418
Episode: 595, Step:18741, Total Reward:-2870
Episode: 596, Step:11169, Total Reward:-1602
Episode: 597, Step:7584, Total Reward:-1113
Episode: 598, Step:17616, Total Reward:-2634
Episode: 599, Step:9119, Total Reward:-1314
Episode: 600, Step:29340, Total Reward:-4458
Episode: 601, Step:14677, Total Reward:-2143
Episode: 602, Step:14485, Total Reward:-2104
Episode: 603, Step:13016, Total Reward:-1892
Episode: 604, Step:5987, Total Reward:-801
Episode: 605, Step:25531, Total Reward:-3862
Episode: 606, Step:12971, Total Reward:-1912
Episode: 607, Step:33682, Total Reward:-5071
Episode: 608, Step:12360, Total Reward:-1797
Episode: 609, Step:49999, Total Reward:-7696
Episode: 610, Step:21876, Total Reward:-3237
Episode: 611, Step:17418, Total Reward:-2620
Episode: 612, Step:13032, Total Reward:-1919
Episode: 613, Step:24967, Total Reward:-3759
Episode: 614, Step:12824, Total Reward:-1871
Episode: 615, Step:10526, Total Reward:-1522
